X,Y,Z,avgProfile,avgProfile_uv,avgProfile_uw,avgProfile_nut
0.0,0.005,0.0,0.0,0.0,0.0,5.955174117647059e-07
0.0,0.00725,0.0,3.7857098039215686,-0.043246007058823525,0.016044195450980396,5.139874901960782e-06
0.0,0.0095,0.0,5.119258823529412,-0.044661490196078436,0.013891768725490196,1.1046180392156859e-05
0.0,0.01175,0.0,5.661603921568627,-0.04070229019607844,0.008168700784313728,1.4976986274509803e-05
0.0,0.014,0.0,5.961954901960786,-0.03129332352941176,0.0036816239215686276,1.5002468627450979e-05
0.0,0.01625,0.0,6.134396078431372,-0.009655280392156866,0.0002444229411764706,1.3660619607843138e-05
0.0,0.0185,0.0,6.235023529411765,0.005601419294117647,-0.0030611134705882345,1.433721960784314e-05
0.0,0.02075,0.0,6.277403921568629,0.015429686078431365,-0.005538443137254899,1.3956960784313733e-05
0.0,0.023,0.0,6.277401960784312,0.02383176176470589,-0.006006955098039216,1.4087698039215683e-05
0.0,0.02525,0.0,6.246150980392158,0.031114596470588236,-0.004340006666666668,1.8353656862745103e-05
0.0,0.0275,0.0,6.189433333333335,0.032737292156862746,-0.001372919745098039,2.5655750980392155e-05
0.0,0.02975,0.0,6.107354901960784,0.02779703666666666,0.0020234283137254908,2.7568364705882354e-05
0.0,0.032,0.0,5.997027450980391,0.019142139999999995,0.005146240196078432,2.270496078431372e-05
0.0,0.03425,0.0,5.855339215686276,0.011746147058823528,0.00834195862745098,2.174185294117647e-05
0.0,0.0365,0.0,5.673554901960784,0.007076615686274512,0.01246883274509804,3.306429411764707e-05
0.0,0.03875,0.0,5.434856862745096,0.011657163921568629,0.016523549019607838,4.182145098039217e-05
0.0,0.041,0.0,5.108637254901961,0.023417811764705886,0.020119594431372546,4.2887082352941176e-05
0.0,0.04325,0.0,4.623086274509803,0.04276598156862746,0.023835298039215698,3.82058019607843e-05
0.0,0.0455,0.0,3.927627450980392,0.05957017647058824,0.0294085997254902,2.1020868627450982e-05
0.0,0.04775,0.0,2.609731372549019,0.045687843137254894,0.027369446666666665,5.512102352941176e-06
0.0,0.05,0.0,0.0,0.0,0.0,9.55720411764706e-07
